median_house_value,housing_median_age,total_rooms,total_bedrooms,households,median_income,location,near_ocean
"336,351.99",39.57,1804.0,383.0,381.0,4.45,33.78 N 111.4 W,Yes
"533,034.41",36.17,2655.0,391.0,368.0,8.68,31.36 N 117.16 W,No
"59,438.25",50.65,15.0,4.0,3.0,0.89,38.21 N 118.85 W,No
"162,643.46",21.32,3418.0,606.0,569.0,4.55,31.43 N 112.63 W,Yes
"280,015.39",10.93,9792.0,1759.0,2000.0,4.39,30.88 N 108.15 W,No
"74,481.36",17.3,2147.0,597.0,480.0,2.85,39.27 N 111.03 W,No
"185,393.24",28.32,2262.0,429.0,487.0,5.08,32.03 N 124.97 W,Yes
"134,928.07",14.67,1894.0,334.0,347.0,5.58,33.95 N 117.99 W,No
"433,937.72",34.5,1990.0,323.0,273.0,6.96,28.0 N 111.41 W,No
"227,423.28",33.95,1956.0,474.0,355.0,3.86,33.87 N 112.75 W,Yes
"165,374.89",33.93,1039.0,202.0,207.0,4.41,36.8 N 120.55 W,Yes
"118,577.86",39.61,1608.0,327.0,341.0,3.32,36.2 N 97.11 W,No
"289,498.26",11.42,1067.0,314.0,193.0,0.78,34.34 N 113.08 W,Yes
"355,782.01",29.33,1955.0,259.0,279.0,4.81,47.15 N 124.33 W,Yes
"73,505.32",33.39,422.0,122.0,95.0,0.78,38.21 N 130.99 W,No
"112,489.95",19.3,4240.0,676.0,628.0,6.22,33.48 N 140.61 W,no
"265,698.44",42.74,1806.0,666.0,622.0,1.88,34.78 N 113.23 W,Yes
"54,848.41",19.5,3249.0,597.0,648.0,1.64,35.56 N 124.07 W,No
"135,755.64",36.77,1614.0,258.0,352.0,3.33,36.21 N 104.81 W,Yes
"216,577.16",31.39,3789.0,738.0,689.0,3.34,26.39 N 115.74 W,Yes
"50,758.46",37.14,834.0,187.0,189.0,1.08,28.19 N 114.88 W,No
"233,027.22",41.31,1896.0,330.0,315.0,3.68,30.16 N 115.86 W,Yes
"286,829.22",44.42,3184.0,818.0,748.0,3.13,37.69 N 117.46 W,Yes
"389,296.89",43.53,1628.0,380.0,345.0,3.99,36.31 N 102.42 W,Yes
"101,592.73",49.43,4335.0,1230.0,836.0,1.93,35.16 N 97.38 W,Yes
"246,827.81",13.32,2170.0,606.0,555.0,2.22,28.36 N 120.18 W,Yes
"81,846.97",33.55,3631.0,660.0,763.0,3.65,42.44 N 126.51 W,No
"145,774.35",31.61,1512.0,281.0,261.0,3.55,39.16 N 128.07 W,No
"154,096.83",47.23,1528.0,319.0,301.0,2.74,32.67 N 115.46 W,Yes
"204,017.21",11.35,3582.0,540.0,607.0,4.08,34.83 N 118.03 W,No
"138,304.05",44.07,3003.0,681.0,558.0,3.51,33.62 N 133.35 W,no
"153,718.96",5.0,351.0,57.0,45.0,2.93,33.74 N 120.53 W,No
"99,790.18",10.82,9196.0,1811.0,1118.0,3.02,34.51 N 109.66 W,No
"241,185.09",8.09,3136.0,443.0,362.0,3.51,34.89 N 138.45 W,Yes
"303,290.32",5.67,9308.0,1016.0,1188.0,5.68,38.18 N 130.25 W,Yes
"446,845.56",None,1994.0,423.0,399.0,6.33,34.19 N 127.03 W,Yes
"82,353.55",43.5,3830.0,760.0,631.0,1.96,37.67 N 132.19 W,No
"121,194.14",11.91,2757.0,475.0,470.0,5.12,37.84 N 125.27 W,No
"381,146.12",37.9,2300.0,351.0,369.0,5.89,29.86 N 112.56 W,Yes
"185,090.67",None,1934.0,520.0,527.0,2.17,33.4 N 95.44 W,Yes
"454,474.04",22.22,6467.0,649.0,831.0,8.72,31.11 N 121.65 W,No
"118,280.30",20.75,2938.0,741.0,589.0,2.46,35.04 N 124.2 W,Yes
"83,864.08",29.66,3078.0,690.0,645.0,3.2,38.72 N 124.2 W,No
"138,329.80",22.1,1996.0,321.0,321.0,3.79,32.35 N 134.2 W,Yes
"68,627.08",5.09,2490.0,621.0,509.0,2.88,28.68 N 123.89 W,No
"399,428.91",None,860.0,203.0,257.0,2.87,32.58 N 145.27 W,Yes
"295,933.46",28.15,6222.0,1268.0,1265.0,3.84,39.65 N 118.39 W,Yes
"68,941.36",34.46,153.0,24.0,33.0,0.92,45.93 N 118.97 W,No
"218,522.96",32.77,3329.0,756.0,689.0,3.62,34.05 N 100.06 W,Yes
"162,828.73",34.28,2282.0,477.0,532.0,3.14,33.91 N 133.01 W,No
"100,444.16",18.38,2026.0,577.0,389.0,2.37,34.01 N 99.68 W,No
"526,012.36",46.11,2226.0,363.0,328.0,8.79,32.68 N 125.26 W,Yes
"138,415.39",16.13,1215.0,314.0,282.0,1.67,43.24 N 106.14 W,No
"239,045.15",24.43,2081.0,284.0,361.0,5.86,29.83 N 122.42 W,Yes
"341,610.68",39.46,1064.0,216.0,203.0,4.87,37.47 N 131.27 W,Yes
"113,377.68",43.84,2044.0,503.0,536.0,1.09,30.76 N 138.3 W,Yes
"178,693.79",None,1009.0,163.0,129.0,3.69,30.51 N 120.36 W,No
"114,881.57",42.98,1039.0,253.0,239.0,1.9,37.27 N 120.41 W,Yes
"147,244.75",19.89,5956.0,1093.0,1245.0,3.06,36.79 N 114.63 W,No
"152,609.39",23.44,2391.0,600.0,683.0,3.13,33.01 N 128.89 W,Yes
"210,080.87",25.73,814.0,163.0,191.0,5.13,33.92 N 115.3 W,No
"288,671.55",None,1746.0,466.0,418.0,3.42,36.74 N 118.01 W,Yes
"76,071.02",16.24,1958.0,428.0,364.0,1.65,40.4 N 115.9 W,No
"102,833.16",16.65,3803.0,746.0,760.0,3.21,29.61 N 123.63 W,No
"380,859.46",30.74,3094.0,672.0,552.0,5.33,30.14 N 136.8 W,Yes
"196,662.47",57.64,2962.0,565.0,505.0,3.44,34.78 N 103.83 W,Yes
"173,227.80",36.57,2461.0,430.0,370.0,3.75,29.53 N 97.9 W,Yes
"587,083.30",36.18,37.0,10.0,12.0,2.95,36.48 N 132.14 W,No
"452,181.05",31.25,1069.0,312.0,335.0,5.04,32.55 N 103.8 W,No
"199,292.61",None,2766.0,697.0,709.0,3.79,31.94 N 114.85 W,Yes
"484,912.53",22.1,2227.0,460.0,449.0,3.44,36.03 N 110.61 W,Yes
"169,911.43",35.45,1602.0,427.0,498.0,2.0,36.7 N 110.71 W,Yes
"101,012.60",30.3,1562.0,298.0,328.0,4.17,42.44 N 130.7 W,No
"343,590.16",30.46,1695.0,282.0,299.0,5.86,40.01 N 98.07 W,Yes
"247,019.03",17.3,6080.0,1565.0,1314.0,3.28,34.05 N 121.51 W,Yes
"87,450.71",None,2306.0,539.0,334.0,3.51,33.38 N 127.06 W,No
"269,474.05",32.75,1570.0,336.0,358.0,4.09,35.11 N 136.19 W,Yes
"333,219.33",25.18,2659.0,740.0,688.0,2.95,36.55 N 131.82 W,Yes
"121,530.35",46.78,1371.0,265.0,246.0,3.51,40.09 N 126.83 W,Yes
"181,065.89",42.36,990.0,357.0,338.0,2.07,31.77 N 114.08 W,Yes
"100,332.62",24.9,1980.0,469.0,188.0,2.94,39.8 N 99.8 W,No
"57,469.34",14.52,1779.0,390.0,378.0,1.01,34.63 N 103.94 W,No
"77,603.71",31.82,2515.0,523.0,460.0,2.65,30.17 N 111.09 W,No
"72,868.82",36.03,386.0,89.0,28.0,1.9,32.49 N 133.4 W,No
"192,278.68",27.49,1924.0,370.0,379.0,4.37,39.69 N 133.94 W,Yes
"108,467.35",53.2,1753.0,312.0,296.0,2.71,38.86 N 117.31 W,Yes
"438,506.20",16.31,3280.0,457.0,411.0,9.38,34.02 N 103.78 W,Yes
"346,772.50",22.06,1553.0,215.0,246.0,7.54,30.08 N 119.7 W,Yes
"137,467.89",27.7,1563.0,380.0,321.0,3.78,37.79 N 137.02 W,No
"233,903.04",None,983.0,211.0,54.0,1.62,35.45 N 114.75 W,No
"238,902.97",36.78,3306.0,670.0,562.0,3.5,39.74 N 106.03 W,No
"68,805.06",31.89,369.0,99.0,112.0,2.46,38.02 N 110.31 W,no
"216,221.82",25.79,1311.0,228.0,208.0,3.22,30.77 N 118.05 W,No
"258,952.25",18.2,1111.0,414.0,341.0,3.81,30.38 N 109.45 W,No
"137,045.08",3.43,13434.0,2048.0,1880.0,4.33,40.29 N 117.4 W,No
"412,804.48",19.57,2129.0,371.0,406.0,10.29,36.15 N 116.51 W,Yes
"151,976.85",34.52,1143.0,228.0,246.0,3.26,37.15 N 102.21 W,Yes
"259,237.12",44.09,2921.0,613.0,611.0,3.56,40.13 N 125.18 W,Yes
"125,401.82",12.69,1888.0,381.0,348.0,4.23,36.6 N 125.3 W,No
"251,458.02",19.93,4206.0,1019.0,1251.0,2.63,34.54 N 145.13 W,Yes
